ArchivesSpace URI,Agent Name,SNAC ARK,Update Status,Web URL
/agents/people/78043,"Albertson, Ralph, 1866-1951",http://n2t.net/ark:/99166/w6902p0n,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/78043
/agents/people/77386,"Albright, William Foxwell, 1891-1971",http://n2t.net/ark:/99166/w64b32f9,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/77386
/agents/people/88644,"Aldan, Daisy",http://n2t.net/ark:/99166/w65j86w2,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/88644
/agents/people/70646,"Alden, Henry Mills, 1836-1919",http://n2t.net/ark:/99166/w6n878t6,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/70646
/agents/people/58598,"Alden, James Madison, 1834-1922",http://n2t.net/ark:/99166/w6k07641,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/58598
/agents/people/59650,"Alden, John Doughty, 1921-",http://n2t.net/ark:/99166/w6fx9pzd,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/59650
/agents/people/88474,"Alden, Roger, 1754-1836",http://n2t.net/ark:/99166/w6v41wqh,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/88474
/agents/people/76534,"Aldington, Richard, 1892-1962",http://n2t.net/ark:/99166/w6445m8c,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/76534
/agents/people/66772,"Aldrich, Amey",http://n2t.net/ark:/99166/w6281xth,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/66772
/agents/people/72333,"Aldrich, Mildred, 1853-1928",http://n2t.net/ark:/99166/w6kx3b9q,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/72333
/agents/people/60683,"Aldrich, Richard Stoddard, 1902-1986",http://n2t.net/ark:/99166/w6tb19g3,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/60683
/agents/people/73410,"Alec-Tweedie, Mrs. (Ethel), -1940",http://n2t.net/ark:/99166/w6cr69mw,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/73410
/agents/people/74785,"Alechinsky, Pierre, 1927-",http://n2t.net/ark:/99166/w6dj68jt,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/74785
/agents/people/91313,"Alekseeva, Li︠u︡dmila, 1927-",http://n2t.net/ark:/99166/w63b6kjp,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/91313
/agents/people/60867,"Alekseĭ Nikolaevich, Czarevitch, son of Nicholas II, Emperor of Russia, 1904-1918",http://n2t.net/ark:/99166/w6mk8gzn,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/60867
/agents/people/76992,"Alexander, Caleb, 1755-1828",http://n2t.net/ark:/99166/w6b29kp1,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/76992
/agents/people/58194,"Alexander, Constance Grosvenor",http://n2t.net/ark:/99166/w6qj7pfm,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/58194
/agents/people/59692,"Alexander, Emperor of Russia, I, 1777-1825",http://n2t.net/ark:/99166/w67m0d6v,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/59692
/agents/people/77972,"Alexander, F. Matthias (Frederick Matthias), 1869-1955",http://n2t.net/ark:/99166/w67x0g6s,skipped,https://testarchivesspace.library.yale.edu/agents/agent_person/77972
